THUMB,INDEX,MIDDLE,RING,LITTLE,LABEL
658,796,748,976,973,2
658,797,748,976,973,2
658,797,748,976,973,2
658,797,748,976,973,2
658,797,748,976,973,2
657,797,749,976,973,2
657,798,749,976,973,2
657,798,749,976,973,2
657,798,750,977,973,2
657,797,750,976,973,2
657,797,750,976,973,2
657,798,749,977,973,2
657,798,749,976,973,2
657,797,749,976,973,2
657,797,748,976,973,2
657,797,750,976,973,2
657,797,746,976,973,2
657,796,746,976,973,2
658,798,745,976,973,2
658,799,744,976,973,2
659,799,745,976,973,2
659,799,747,976,973,2
659,799,749,976,973,2
659,798,749,976,973,2
659,798,749,976,973,2
659,797,748,976,973,2
659,798,747,976,973,2
659,798,746,976,973,2
659,797,744,976,973,2
658,796,747,976,973,2
658,796,745,976,973,2
658,796,746,976,973,2
657,796,747,976,973,2
658,796,747,976,973,2
659,796,748,976,973,2
658,796,749,976,973,2
658,795,748,976,973,2
658,795,748,976,973,2
658,795,747,976,973,2
657,795,748,976,973,2
657,794,748,976,973,2
657,795,747,976,973,2
657,795,748,976,973,2
657,794,747,976,973,2
656,794,748,976,973,2
656,794,747,976,973,2
656,794,747,976,973,2
656,794,747,976,973,2
656,794,747,976,973,2
656,794,747,976,973,2
656,794,747,976,973,2
656,794,747,976,973,2
656,794,747,975,973,2
656,794,747,976,973,2
656,794,747,975,972,2
656,794,747,976,972,2
656,794,747,975,972,2
656,794,746,975,972,2
656,794,746,976,972,2
656,793,746,976,972,2
656,794,746,975,972,2
656,794,746,975,972,2
656,793,746,975,972,2
656,793,746,975,972,2
656,793,746,975,972,2
656,794,746,975,972,2
656,793,748,975,972,2
656,793,749,975,972,2
656,793,749,975,972,2
656,793,747,975,972,2
656,793,746,975,972,2
656,793,746,975,972,2
656,793,746,976,972,2
656,793,746,976,972,2
656,793,746,976,972,2
656,792,746,975,972,2
656,792,746,976,972,2
656,792,746,976,972,2
656,792,745,975,972,2
656,792,746,975,972,2
656,792,745,975,972,2
656,792,745,975,972,2
656,792,745,975,972,2
656,792,745,975,972,2
656,792,745,975,972,2
656,792,745,975,972,2
656,792,745,975,972,2
656,791,745,975,972,2
656,792,745,975,972,2
656,791,745,975,972,2
656,792,744,975,972,2
656,791,745,975,972,2
656,792,744,975,972,2
656,791,745,975,972,2
656,791,745,976,972,2
656,791,744,975,972,2
656,791,745,975,972,2
656,791,744,975,972,2
